end,start,tweet_count,keyword
2023-02-14,2023-02-14,0,shoplikeabillionnaire
2023-02-10,2023-02-09,0,shoplikebillionaire
2023-02-11,2023-02-10,0,shoplikebillionaire
2023-02-12,2023-02-11,0,shoplikebillionaire
2023-02-13,2023-02-12,0,shoplikebillionaire
2023-02-14,2023-02-13,0,shoplikebillionaire
2023-02-14,2023-02-14,0,shoplikebillionaire
2023-02-10,2023-02-09,66933,shopping
2023-02-11,2023-02-10,80205,shopping
2023-02-12,2023-02-11,70102,shopping
2023-02-13,2023-02-12,81183,shopping
2023-02-14,2023-02-13,78872,shopping
2023-02-14,2023-02-14,74045,shopping
2023-02-10,2023-02-09,0,shoppinglikeabillionaire
2023-02-11,2023-02-10,0,shoppinglikeabillionaire
2023-02-12,2023-02-11,0,shoppinglikeabillionaire
2023-02-13,2023-02-12,0,shoppinglikeabillionaire
2023-02-14,2023-02-13,1,shoppinglikeabillionaire
2023-02-14,2023-02-14,0,shoppinglikeabillionaire
2023-02-10,2023-02-09,0,shoppinglikeabillionare
2023-02-11,2023-02-10,0,shoppinglikeabillionare
2023-02-12,2023-02-11,0,shoppinglikeabillionare
2023-02-13,2023-02-12,0,shoppinglikeabillionare
2023-02-14,2023-02-13,0,shoppinglikeabillionare
2023-02-14,2023-02-14,0,shoppinglikeabillionare
2023-02-10,2023-02-09,60,shoptemu
2023-02-11,2023-02-10,58,shoptemu
2023-02-12,2023-02-11,71,shoptemu
2023-02-13,2023-02-12,117,shoptemu
2023-02-14,2023-02-13,247,shoptemu
2023-02-14,2023-02-14,148,shoptemu
2023-02-10,2023-02-09,252175,short
2023-02-11,2023-02-10,262738,short
2023-02-12,2023-02-11,250990,short
2023-02-13,2023-02-12,266192,short
2023-02-14,2023-02-13,258795,short
2023-02-14,2023-02-14,256218,short
2023-02-10,2023-02-09,0,shortodds
2023-02-11,2023-02-10,0,shortodds
2023-02-12,2023-02-11,0,shortodds
2023-02-13,2023-02-12,0,shortodds
2023-02-14,2023-02-13,0,shortodds
2023-02-14,2023-02-14,0,shortodds
2023-02-10,2023-02-09,1,shotbypixel
2023-02-11,2023-02-10,1,shotbypixel
2023-02-12,2023-02-11,3,shotbypixel
2023-02-13,2023-02-12,3,shotbypixel
2023-02-14,2023-02-13,6,shotbypixel
2023-02-14,2023-02-14,2,shotbypixel
2023-02-10,2023-02-09,337,shotoniphone
2023-02-11,2023-02-10,383,shotoniphone
2023-02-12,2023-02-11,337,shotoniphone
2023-02-13,2023-02-12,368,shotoniphone
2023-02-14,2023-02-13,327,shotoniphone
2023-02-14,2023-02-14,264,shotoniphone
2023-02-10,2023-02-09,1206918,show
2023-02-11,2023-02-10,1328026,show
2023-02-12,2023-02-11,1311278,show
2023-02-13,2023-02-12,1473528,show
2023-02-14,2023-02-13,2196425,show
2023-02-14,2023-02-14,1288531,show
2023-02-10,2023-02-09,272373,shows
2023-02-11,2023-02-10,295287,shows
2023-02-12,2023-02-11,288009,shows
2023-02-13,2023-02-12,280174,shows
2023-02-14,2023-02-13,313127,shows
2023-02-14,2023-02-14,319671,shows
2023-02-10,2023-02-09,3578,shrink
2023-02-11,2023-02-10,4015,shrink
2023-02-12,2023-02-11,6521,shrink
2023-02-13,2023-02-12,3395,shrink
2023-02-14,2023-02-13,3766,shrink
2023-02-14,2023-02-14,3467,shrink
2023-02-10,2023-02-09,4995,shrinking
2023-02-11,2023-02-10,4809,shrinking
2023-02-12,2023-02-11,3447,shrinking
2023-02-13,2023-02-12,3755,shrinking
2023-02-14,2023-02-13,4082,shrinking
2023-02-14,2023-02-14,3309,shrinking
2023-02-10,2023-02-09,0,shrinkinganddrinking
2023-02-11,2023-02-10,0,shrinkinganddrinking
2023-02-12,2023-02-11,0,shrinkinganddrinking
